,Mean,Median,Sigma
Very high,0.20342807122715262,0.2123076923076923,0.1473974205028119
High,0.11678518110432769,0.09394879134860051,0.14287885130169417
Low,-0.04736825789449949,-0.05917159763313609,0.146381406970218
Medium,0.019590582875556945,0.006549034330288241,0.22539380237093304
