,Mean,Median,Sigma
Very high,0.8611863636363636,0.9998,0.45579857862078427
High,0.7936867924528302,0.9995,0.5919555554515038
Low,0.043090909090909124,0.7046,0.9812033225724792
Medium,0.575854054054054,0.9984,0.7691934616476153
